Time,Source,Destination,Protocol,Length,portnumber,Info
2015-10-2409:45:38,192.168.0.105,192.168.0.1,DNS,89,53,beautypageants.indiatimes.com
2015-10-2409:45:38,192.168.0.105,192.168.0.1,DNS,82,53,mytimes.indiatimes.com
2015-10-2409:45:38,192.168.0.105,192.168.0.1,DNS,87,53,photogallery.indiatimes.com
2015-10-2409:45:39,192.168.0.105,192.168.0.1,DNS,71,53,twitter.com
2015-10-2409:45:39,192.168.0.105,192.168.0.1,DNS,76,53,www.facebook.com
2015-10-2409:45:39,192.168.0.105,192.168.0.1,DNS,93,53,blogs.timesofindia.indiatimes.com
2015-10-2409:45:39,192.168.0.105,192.168.0.1,DNS,88,53,economictimes.indiatimes.com
2015-10-2409:45:39,192.168.0.105,192.168.0.1,DNS,83,53,epaper.timesofindia.com
2015-10-2409:45:39,192.168.0.105,192.168.0.1,DNS,90,53,feminamissindia.indiatimes.com
2015-10-2409:45:39,192.168.0.105,192.168.0.1,DNS,70,53,google.com
2015-10-2409:45:39,192.168.0.105,192.168.0.1,DNS,79,53,live.indiatimes.com
2015-10-2409:45:39,192.168.0.105,192.168.0.1,DNS,76,53,www.cricbuzz.com
2015-10-2409:45:39,192.168.0.105,192.168.0.1,DNS,78,53,www.happytrips.com
2015-10-2409:45:39,192.168.0.105,192.168.0.1,DNS,77,53,www.pinterest.com
2015-10-2409:45:39,192.168.0.105,192.168.0.1,DNS,75,53,www.timesnow.tv
2015-10-2409:45:39,192.168.0.105,192.168.0.1,DNS,75,53,www.twitter.com
2015-10-2409:45:40,192.168.0.105,192.168.0.1,DNS,84,53,pubads.g.doubleclick.net
2015-10-2409:45:40,192.168.0.105,192.168.0.1,DNS,79,53,www.speakingtree.in
2015-10-2409:45:40,192.168.0.105,192.168.0.1,DNS,78,53,bs.serving-sys.com
2015-10-2409:45:40,192.168.0.105,192.168.0.1,DNS,78,53,tags.crwdcntrl.net
2015-10-2409:45:42,192.168.0.105,192.168.0.1,DNS,85,53,adclick.g.doubleclick.net
2015-10-2409:45:43,192.168.0.105,192.168.0.1,DNS,71,53,s1.2mdn.net
2015-10-2409:45:43,192.168.0.105,192.168.0.1,DNS,70,53,d.agkn.com
2015-10-2409:45:44,192.168.0.105,192.168.0.1,DNS,83,53,content.magicbricks.com
2015-10-2409:45:44,192.168.0.105,192.168.0.1,DNS,84,53,in.mobile.indiatimes.com
2015-10-2409:45:44,192.168.0.105,192.168.0.1,DNS,81,53,mobile.indiatimes.com
2015-10-2409:45:44,192.168.0.105,192.168.0.1,DNS,88,53,googleads4.g.doubleclick.net
2015-10-2409:45:44,192.168.0.105,192.168.0.1,DNS,89,53,navbharattimes.indiatimes.com
2015-10-2409:45:44,192.168.0.105,192.168.0.1,DNS,76,53,www.mocolife.com
2015-10-2409:45:49,192.168.0.105,192.168.0.1,DNS,80,53,platform.twitter.com
2015-10-2409:45:50,192.168.0.105,192.168.0.1,DNS,84,53,www.googleadservices.com
2015-10-2409:45:52,192.168.0.105,192.168.0.1,DNS,76,53,ade.clmbtech.com
2015-10-2409:45:53,192.168.0.105,192.168.0.1,DNS,76,53,ade.clmbtech.com
2015-10-2409:45:53,192.168.0.105,192.168.0.1,DNS,83,53,userreco.indiatimes.com
2015-10-2409:45:54,192.168.0.105,192.168.0.1,DNS,83,53,userreco.indiatimes.com
2015-10-2409:45:56,192.168.0.105,192.168.0.1,DNS,77,53,bcp.crwdcntrl.net
2015-10-2409:45:56,192.168.0.105,192.168.0.1,DNS,83,53,safebrowsing.google.com
2015-10-2409:45:56,192.168.0.105,192.168.0.1,DNS,79,53,static.clmbtech.com
2015-10-2409:46:00,192.168.0.105,192.168.0.1,DNS,80,53,api.choicestream.com
2015-10-2409:46:00,192.168.0.105,192.168.0.1,DNS,72,53,ib.adnxs.com
2015-10-2409:46:00,192.168.0.105,192.168.0.1,DNS,76,53,segments.adap.tv
2015-10-2409:46:00,192.168.0.105,192.168.0.1,DNS,91,53,segments.adaptv.advertising.com
2015-10-2409:46:00,192.168.0.105,192.168.0.1,DNS,76,53,idsync.rlcdn.com
2015-10-2409:46:00,192.168.0.105,192.168.0.1,DNS,80,53,ssum.casalemedia.com
2015-10-2409:46:00,192.168.0.105,192.168.0.1,DNS,82,53,tap.rubiconproject.com
2015-10-2409:46:00,192.168.0.105,192.168.0.1,DNS,75,53,uav.tidaltv.com
2015-10-2409:46:01,192.168.0.105,192.168.0.1,DNS,77,53,www.microsoft.com
2015-10-2409:46:04,192.168.0.105,192.168.0.1,DNS,81,53,analytics.twitter.com
2015-10-2409:46:04,192.168.0.105,192.168.0.1,DNS,73,53,adadvisor.net
2015-10-2409:46:19,192.168.0.105,192.168.0.1,DNS,79,53,clients4.google.com
2015-10-2409:46:26,192.168.0.105,192.168.0.1,DNS,70,53,g.bing.com
2015-10-2409:46:27,192.168.0.105,192.168.0.1,DNS,89,53,ds.download.windowsupdate.com
2015-10-2409:46:31,192.168.0.105,192.168.0.1,DNS,87,53,timesofindia.indiatimes.com
2015-10-2409:46:31,192.168.0.105,192.168.0.1,DNS,84,53,fe2.update.microsoft.com
2015-10-2409:46:31,192.168.0.105,192.168.0.1,DNS,79,53,clients2.google.com
2015-10-2409:46:34,192.168.0.105,192.168.0.1,DNS,77,53,www.microsoft.com
2015-10-2409:46:39,192.168.0.105,192.168.0.1,DNS,83,53,ctldl.windowsupdate.com
2015-10-2409:46:41,192.168.0.105,192.168.0.1,DNS,76,53,go.microsoft.com
2015-10-2409:46:42,192.168.0.105,192.168.0.1,DNS,85,53,wscont.apps.microsoft.com
2015-10-2409:46:47,192.168.0.105,192.168.0.1,DNS,85,53,wscont.apps.microsoft.com
2015-10-2409:46:53,192.168.0.105,192.168.0.1,DNS,76,53,www.google.co.in
2015-10-2409:46:54,192.168.0.105,192.168.0.1,DNS,75,53,apis.google.com
2015-10-2409:46:54,192.168.0.105,192.168.0.1,DNS,75,53,id.google.co.in
2015-10-2409:46:56,192.168.0.105,192.168.0.1,DNS,78,53,bs.serving-sys.com
2015-10-2409:46:59,192.168.0.105,192.168.0.1,DNS,75,53,mail.google.com
2015-10-2409:46:59,192.168.0.105,192.168.0.1,DNS,79,53,clients5.google.com
2015-10-2409:46:59,192.168.0.105,192.168.0.1,DNS,97,53,mail-attachment.googleusercontent.com
2015-10-2409:46:59,192.168.0.105,192.168.0.1,DNS,85,53,lh6.googleusercontent.com
2015-10-2409:46:59,192.168.0.105,192.168.0.1,DNS,75,53,play.google.com
