"Time","Source","Destination","Protocol","Length","port number","Info"
"2015-10-24 09:46:26","192.168.0.105","192.168.0.1","DNS","70","53","Standard query 0x10f5  A g.bing.com"
"2015-10-24 09:46:27","192.168.0.105","192.168.0.1","DNS","89","53","Standard query 0x396a  A ds.download.windowsupdate.com"
"2015-10-24 09:46:31","192.168.0.105","192.168.0.1","DNS","87","53","Standard query 0xc774  A timesofindia.indiatimes.com"
"2015-10-24 09:46:31","192.168.0.105","192.168.0.1","DNS","84","53","Standard query 0x6c3e  A fe2.update.microsoft.com"
"2015-10-24 09:46:31","192.168.0.105","192.168.0.1","DNS","79","53","Standard query 0x3be6  A clients2.google.com"
"2015-10-24 09:46:34","192.168.0.105","192.168.0.1","DNS","77","53","Standard query 0x51ec  A www.microsoft.com"
"2015-10-24 09:46:39","192.168.0.105","192.168.0.1","DNS","83","53","Standard query 0x8b18  A ctldl.windowsupdate.com"
"2015-10-24 09:46:41","192.168.0.105","192.168.0.1","DNS","76","53","Standard query 0x95e6  A go.microsoft.com"
"2015-10-24 09:46:42","192.168.0.105","192.168.0.1","DNS","85","53","Standard query 0xd298  A wscont.apps.microsoft.com"
"2015-10-24 09:46:47","192.168.0.105","192.168.0.1","DNS","85","53","Standard query 0xae50  A wscont.apps.microsoft.com"
"2015-10-24 09:46:53","192.168.0.105","192.168.0.1","DNS","76","53","Standard query 0xe4e8  A www.google.co.in"
"2015-10-24 09:46:54","192.168.0.105","192.168.0.1","DNS","75","53","Standard query 0x82cd  A apis.google.com"
"2015-10-24 09:46:54","192.168.0.105","192.168.0.1","DNS","75","53","Standard query 0x3977  A id.google.co.in"
"2015-10-24 09:46:56","192.168.0.105","192.168.0.1","DNS","78","53","Standard query 0xc2e4  A bs.serving-sys.com"
